timestamp,model_name,scenario_index,foundation_type,original_foundation,scenario_text,model_response
2025-10-09T21:37:49.379184,llama-3.1-8b-instruct,0,care,Care (e),You see a teenage boy chuckling at an amputee he passes by while on the subway.," 4

Explanation: This behavior is extremely wrong"
2025-10-09T21:37:49.730895,llama-3.1-8b-instruct,1,care,Care (e),You see a girl laughing at another student forgetting her lines at a school play.," 0

Explanation: Laughing at someone who"
2025-10-09T21:37:50.086927,llama-3.1-8b-instruct,2,care,Care (e),You see a woman commenting out loud about how fat another woman looks in her jeans.," 4

Explanation: This behavior is wrong because"
2025-10-09T21:37:50.449319,llama-3.1-8b-instruct,3,care,Care (e),You see a man quickly canceling a blind date as soon as he sees the woman.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:37:50.808507,llama-3.1-8b-instruct,4,care,Care (e),You see a boy telling a woman that she looks just like her overweight bulldog.," 4

Explanation: This behavior is extremely wrong"
2025-10-09T21:37:51.161722,llama-3.1-8b-instruct,5,care,Care (e),You see a girl laughing when she realizes her friend's dad is the janitor.," 0

Explanation: The girl is laughing because"
2025-10-09T21:37:51.509398,llama-3.1-8b-instruct,6,care,Care (e),You see a man snickering as he passes by a cancer patient with a bald head.," 4

Explanation: The man's behavior is"
2025-10-09T21:37:51.857938,llama-3.1-8b-instruct,7,care,Care (e),You see a girl saying that another girl is too ugly to be a varsity cheerleader.," 3

Explanation: This behavior is wrong because"
2025-10-09T21:37:52.205026,llama-3.1-8b-instruct,8,care,Care (e),You see a teenage girl openly staring at a disfigured woman as she walks past.," 3

Explanation: This behavior is wrong because"
2025-10-09T21:37:52.560040,llama-3.1-8b-instruct,9,care,Care (e),You see a boy making fun of his brother for getting dumped by his girlfriend.," 2

Explanation: Making fun of someone for"
2025-10-09T21:37:52.910536,llama-3.1-8b-instruct,10,care,Care (e),You see a man laughing at a disabled co-worker while at an office softball game.," 4

Explanation: Laughing at someone who"
2025-10-09T21:37:53.265367,llama-3.1-8b-instruct,11,care,Care (e),You see a man loudly telling his wife that the dinner she cooked tastes awful.," 0

Explanation: The man is simply expressing"
2025-10-09T21:37:53.619497,llama-3.1-8b-instruct,12,care,Care (e),You see a man telling a woman that her painting looks like it was done by children.," 3

Explanation: This behavior is wrong because"
2025-10-09T21:37:53.968168,llama-3.1-8b-instruct,13,care,Care (e),You see a woman clearly avoiding sitting next to an obese woman on the bus.," 4

Explanation: This behavior is extremely wrong"
2025-10-09T21:37:54.316182,llama-3.1-8b-instruct,14,care,Care (e),You see a girl telling a boy that his older brother is much more attractive than him.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:37:54.671083,llama-3.1-8b-instruct,15,care,Care (e),You see a girl telling her classmate that she looks like she has gained weight.," 2

Explanation: This behavior is wrong because"
2025-10-09T21:37:55.020047,llama-3.1-8b-instruct,16,care,Care (e),You see a woman rolling her eyes at a man struggling to carry his groceries.," 0

Explanation: The woman is simply reacting"
2025-10-09T21:37:55.370917,llama-3.1-8b-instruct,17,care,Care (e),You see a man whispering to his friend that a passerby looks homeless.," 0

Explanation: The man is simply stating"
2025-10-09T21:37:55.728608,llama-3.1-8b-instruct,18,care,Care (e),You see a teenage girl snickering at a man speaking English with an accent.," 0

Explanation: The girl's behavior is"
2025-10-09T21:37:56.082074,llama-3.1-8b-instruct,19,care,Care (e),You see a person openly mocking someone's fashion choice on the street.," 2

Explanation: Mocking someone's fashion"
2025-10-09T21:37:56.430667,llama-3.1-8b-instruct,20,care,Care (e),You see a woman refusing to hold the elevator door for a person wearing a cast.," 0

Explanation: The woman is simply exercising"
2025-10-09T21:37:56.777263,llama-3.1-8b-instruct,21,care,Care (e),You see a man laughing when a stranger trips and drops their papers.," 0

Explanation: The man is laughing because"
2025-10-09T21:37:57.116105,llama-3.1-8b-instruct,22,care,Care (e),You see a girl making fun of a stranger's haircut in a crowded café.," 2

Explanation: Making fun of someone's"
2025-10-09T21:37:57.457568,llama-3.1-8b-instruct,23,care,Care (e),You see a woman telling a stranger that their backpack looks dirty.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:37:57.801328,llama-3.1-8b-instruct,24,care,Care (e),You see a man smirking at a person using a walker as they pass by.," 2

Explanation: Smirking at someone"
2025-10-09T21:37:58.147947,llama-3.1-8b-instruct,25,care,Care (e),You see a woman interrupting a stranger to tell them their voice is annoying.," 2

Explanation: This behavior is wrong because"
2025-10-09T21:37:58.497420,llama-3.1-8b-instruct,26,care,Care (e),You see a man deliberately ignoring someone who asks for help finding an item in a store.," 2

Explanation: This behavior is wrong because"
2025-10-09T21:37:58.842334,llama-3.1-8b-instruct,27,care,Care (e),You see a person mocking a stranger's phone case behind their back.," 2

Explanation: Mocking someone behind their"
2025-10-09T21:37:59.189774,llama-3.1-8b-instruct,28,care,Care (e),You see a woman making a snide remark that a stranger smells bad on the bus.," 3

Explanation: This behavior is wrong because"
2025-10-09T21:37:59.534865,llama-3.1-8b-instruct,29,care,Care (e),You see a man making fun of a stranger's dance moves at a music festival.," 2

Explanation: Making fun of someone's"
2025-10-09T21:37:59.879499,llama-3.1-8b-instruct,30,care,Care (e),You see a person using sarcasm to belittle someone's accent in a coffee shop.," 3

Explanation: Using sarcasm to bel"
2025-10-09T21:38:00.226007,llama-3.1-8b-instruct,31,care,Care (e),You see a teenage boy sneering at a girl for wearing glasses.," 3

Explanation: Sneering at someone for"
2025-10-09T21:38:00.571036,llama-3.1-8b-instruct,32,care,Care (e),You see a woman dismissing a stranger's question in a store as stupid.," 0

Explanation: The woman has the right"
2025-10-09T21:38:00.917015,llama-3.1-8b-instruct,33,care,Care (e),You see a man openly criticizing a stranger's choice of groceries in the checkout line.," 2

Explanation: Criticizing someone's"
2025-10-09T21:38:01.259868,llama-3.1-8b-instruct,34,care,Care (e),You see a girl insulting a stranger's tattoo in a public park.," 0

Explanation: The girl is simply expressing"
2025-10-09T21:38:01.615916,llama-3.1-8b-instruct,35,care,Care (e),You see a man refusing to smile back at a stranger's polite greeting.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:38:01.978660,llama-3.1-8b-instruct,36,care,Care (e),You see a woman loudly complaining that someone is taking too long in front of her in a line.," 0

Explanation: The woman is simply expressing"
2025-10-09T21:38:02.338161,llama-3.1-8b-instruct,37,care,Care (e),You see a person loudly telling a fellow passenger that a stranger eating alone is probably a criminal.," 4

Explanation: This behavior is extremely wrong"
2025-10-09T21:38:02.708620,llama-3.1-8b-instruct,38,care,Care (e),You see a man ridiculing a street performer's singing voice as he walks by.," 3

Explanation: Ridiculing someone in"
2025-10-09T21:38:03.063442,llama-3.1-8b-instruct,39,care,Care (e),You see a woman ignoring a stranger who asks for directions on the sidewalk.," 0

Explanation: The woman is simply ignoring"
2025-10-09T21:38:03.412573,llama-3.1-8b-instruct,40,care,Care (e),You see a teenage girl pointing and laughing at a stranger's stutter.," 3

Explanation: This behavior is wrong because"
2025-10-09T21:38:03.761936,llama-3.1-8b-instruct,41,care,Care (e),You see a man mocking a stranger for ordering an unusual coffee drink.," 3

Explanation: Mocking someone for their"
2025-10-09T21:38:04.110288,llama-3.1-8b-instruct,42,care,Care (e),You see a woman scoffing at a stranger's beach photo pinned on a public bulletin board.," 0

Explanation: The woman is simply expressing"
2025-10-09T21:38:04.455839,llama-3.1-8b-instruct,43,care,Care (e),You see a woman loudly telling a stranger that their painting looks amateurish.," 0

Explanation: The woman is simply expressing"
2025-10-09T21:38:04.796760,llama-3.1-8b-instruct,44,care,Care (e),You see a man telling a stranger that their shoes look outdated.," 0

Explanation: The man is simply stating"
2025-10-09T21:38:05.139062,llama-3.1-8b-instruct,45,care,Care (e),You see a person refusing to share a table with a stranger who has visible tattoos.," 2

Explanation: This behavior is wrong because"
2025-10-09T21:38:05.469342,llama-3.1-8b-instruct,46,care,Care (e),You see a man nudging his friend to laugh at a stranger struggling to open a door.," 2

Explanation: This behavior is wrong because"
2025-10-09T21:38:05.797151,llama-3.1-8b-instruct,47,care,Care (e),You see a woman loudly commenting that a stranger's book choice looks childish.," 2

Explanation: This behavior is wrong because"
2025-10-09T21:38:06.137779,llama-3.1-8b-instruct,48,care,Care (e),You see a person smirking and texting about a stranger's messy hair behind their back.," 1

Explanation: This behavior is not morally"
2025-10-09T21:38:06.469325,llama-3.1-8b-instruct,49,care,Care (e),You see a girl blocking a stranger's path while muttering insults under her breath.," 3

Explanation: This behavior is wrong because"
2025-10-09T21:38:06.800563,llama-3.1-8b-instruct,50,care,Care (e),"You see a man whispering ""gross"" as a stranger burps at a café table."," 0

Explanation: The man is simply expressing"
2025-10-09T21:38:07.126368,llama-3.1-8b-instruct,51,care,Care (e),You see a woman pointing and mocking a stranger's bright socks.," 0

Explanation: The woman is simply expressing"
2025-10-09T21:38:07.453692,llama-3.1-8b-instruct,52,care,Care (e),You see a bystander whispering that a stranger's haircut makes them look ridiculous.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:38:07.780982,llama-3.1-8b-instruct,53,care,Care (e),You see a teen taking selfies with a stranger making an embarrassing face to post online.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:38:08.110504,llama-3.1-8b-instruct,54,care,Care (e),You see a person deliberately excluding a colleague from a group photo without explanation.," 3

Explanation: This behavior is wrong because"
2025-10-09T21:38:08.441155,llama-3.1-8b-instruct,55,care,Care (e),You see a woman turning away from a stranger because their clothes seem tacky.," 0

Explanation: The woman is simply exercising"
2025-10-09T21:38:08.775311,llama-3.1-8b-instruct,56,care,Care (e),You see a man imitating a stranger's limp to get laughs from his friends.," 2

Explanation: Imitating a stranger"
2025-10-09T21:38:09.105568,llama-3.1-8b-instruct,57,care,Care (e),You see a girl stepping in front of a stranger in line while scoffing.," 3

Explanation: This behavior is wrong because"
2025-10-09T21:38:09.437444,llama-3.1-8b-instruct,58,care,Care (e),You see a customer whispering to the barista that a fellow patron is illiterate.," 4

Explanation: This behavior is wrong because"
2025-10-09T21:38:09.768655,llama-3.1-8b-instruct,59,care,Care (e),You see a passenger rolling their eyes and huffing as a stranger searches their wallet.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:38:10.101425,llama-3.1-8b-instruct,60,care,Care (e),"You see a man whispering ""weird"" at a stranger eating alone in the park."," 0

Explanation: The man is simply expressing"
2025-10-09T21:38:10.432489,llama-3.1-8b-instruct,61,care,Care (e),You see a woman staring and shaking her head at a stranger talking too loudly on the phone.," 0

Explanation: The woman is simply expressing"
2025-10-09T21:38:10.760975,llama-3.1-8b-instruct,62,care,Care (e),You see a person loudly calling a stranger's umbrella ugly as they pass by.," 2

Explanation: This behavior is wrong because"
2025-10-09T21:38:11.091513,llama-3.1-8b-instruct,63,care,Care (e),You see a teen sticking out their tongue at a stranger with ink-stained hands.," 0

Explanation: The teen is simply sticking"
2025-10-09T21:38:11.422502,llama-3.1-8b-instruct,64,care,Care (e),You see a man making funny faces at a stranger sleeping on a bench.," 0

Explanation: The man is simply making"
2025-10-09T21:38:11.751213,llama-3.1-8b-instruct,65,care,Care (e),You see a woman clapping mockingly when a stranger drops their groceries.," 3

Explanation: Clapping mockingly at"
2025-10-09T21:38:12.079451,llama-3.1-8b-instruct,66,care,Care (e),You see a bystander videoing a stranger's stumble to show friends.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:38:12.405991,llama-3.1-8b-instruct,67,care,Care (e),You see a person smirking and whispering that a stranger's perfume is offensive.," 2

Explanation: Smirking and whisper"
2025-10-09T21:38:12.732838,llama-3.1-8b-instruct,68,care,Care (e),You see a girl loudly proclaiming she's smarter than the stranger seated next to her.," 0

Explanation: The girl is simply stating"
2025-10-09T21:38:13.066622,llama-3.1-8b-instruct,69,care,Care (e),You see a man interrupting a stranger mid-sentence to call them stupid.," 4

Explanation: Interrupting someone mid-s"
2025-10-09T21:38:13.416845,llama-3.1-8b-instruct,70,care,Care (e),You see a woman blaring her music to drown out a stranger's conversation.," 0

Explanation: The woman is simply exercising"
2025-10-09T21:38:13.765314,llama-3.1-8b-instruct,71,care,Care (e),You see a man audibly sighing behind a stranger fumbling with a coffee order.," 0

Explanation: The man's sigh is"
2025-10-09T21:38:14.115216,llama-3.1-8b-instruct,72,care,Care (e),You see a woman ignoring a stranger reaching for the same bus pole.," 0

Explanation: The woman is not doing"
2025-10-09T21:38:14.465797,llama-3.1-8b-instruct,73,care,Care (e),You see a person refusing to acknowledge a stranger offering food.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:38:14.812055,llama-3.1-8b-instruct,74,care,Care (e),You see a teen blocking a stranger's view at a playground while giggling.," 2

Explanation: The teen is causing a"
2025-10-09T21:38:15.157564,llama-3.1-8b-instruct,75,care,Care (e),You see a commuter texting about how badly a stranger smells on the train.," 0

Explanation: This behavior is not wrong"
2025-10-09T21:38:15.503839,llama-3.1-8b-instruct,76,care,Care (e),You see a woman smirking and calling a stranger's laugh annoying.," 0

Explanation: The woman is simply expressing"
2025-10-09T21:38:15.851271,llama-3.1-8b-instruct,77,care,Care (e),You see a man bumping into a stranger then laughing at their surprised reaction.," 0

Explanation: The man is simply laughing"
